date,tsi_1au,tsi_true_earth
2004-12-03,1361.0596,1401.0126
2004-12-04,1361.1907,1401.5374
2004-12-05,1361.1907,1401.9242
2004-12-06,1361.1329,1402.2348
2004-12-07,1361.1045,1402.6004
2004-12-08,1361.1035,1402.9383
2004-12-09,1361.0691,1403.2348
2004-12-10,1361.0428,1403.536
2004-12-11,1361.0191,1403.8379
2004-12-12,1361.0243,1404.1593
2004-12-13,1361.0475,1404.4929
2004-12-14,1361.0304,1404.7924
2004-12-15,1360.9749,1404.9963
2004-12-16,1360.9474,1405.24
2004-12-17,1360.9904,1405.5433
2004-12-18,1361.0335,1405.8742
2004-12-19,1361.0175,1406.0731
2004-12-20,1360.9412,1406.2164
2004-12-21,1360.9478,1406.4396
2004-12-22,1361.0346,1406.7132
2004-12-23,1361.1117,1406.9476
2004-12-24,1361.2483,1407.2678
2004-12-25,1361.2906,1407.4479
2004-12-26,1361.2934,1407.5716
2004-12-27,1361.2871,1407.6693
2004-12-28,1361.2398,1407.7136
2004-12-29,1361.1876,1407.722
2004-12-30,1361.1423,1407.7262
2004-12-31,1361.1686,1407.7859
2005-01-01,1361.1178,1407.7499
2005-01-02,1361.0327,1407.6626
2005-01-03,1360.9729,1407.5853
2005-01-04,1360.9756,1407.5561
2005-01-05,1360.9675,1407.5045
2005-01-06,1360.9703,1407.4501
2005-01-07,1360.9712,1407.3828
2005-01-08,1360.9948,1407.3268
2005-01-09,1360.9654,1407.2045
2005-01-10,1360.9111,1407.0467
2005-01-11,1360.7528,1406.7644
2005-01-12,1360.542,1406.4429
2005-01-13,1359.8516,1405.5923
2005-01-14,1359.1365,1404.7077
2005-01-15,1358.7865,1404.183
2005-01-16,1358.9284,1404.1711
2005-01-17,1359.4109,1404.4919
2005-01-18,1360.1285,1405.0237
2005-01-19,1360.6864,1405.3923
2005-01-20,1361.0069,1405.5034
2005-01-21,1361.0765,1405.3455
2005-01-22,1361.077,1405.084
2005-01-23,1361.1142,1404.8489
2005-01-24,1361.0864,1404.5361
2005-01-25,1360.9957,1404.104
2005-01-26,1361.007,1403.8019
2005-01-27,1361.0404,1403.5054
2005-01-28,1361.0393,1403.145
2005-01-29,1360.9699,1402.7047
2005-01-30,1360.8161,1402.1486
2005-01-31,1360.8116,1401.7412
2005-02-01,1360.8639,1401.3572
2005-02-02,1360.8634,1400.9448
2005-02-03,1360.8153,1400.4602
2005-02-04,1360.8391,1400.027
2005-02-05,1360.9413,1399.6633
2005-02-06,1361.0843,1399.3326
2005-02-07,1361.1501,1398.9368
2005-02-08,1361.1214,1398.3908
2005-02-09,1361.0524,1397.8517
2005-02-10,1360.9395,1397.2473
2005-02-11,1360.7653,1396.4921
2005-02-12,1360.6341,1395.8972
2005-02-13,1360.5854,1395.3223
2005-02-14,1360.6297,1394.8417
2005-02-15,1360.6549,1394.2948
2005-02-16,1360.6747,1393.7677
2005-02-17,1360.6222,1393.2269
2005-02-18,1360.701,1392.6749
2005-02-19,1360.8262,1392.2452
2005-02-20,1360.8786,1391.6947
2005-02-21,1360.9076,1391.1209
2005-02-22,1360.9877,1390.5354
2005-02-23,1360.9495,1389.9231
2005-02-24,1360.9217,1389.2643
2005-02-25,1360.9058,1388.5854
2005-02-26,1360.8619,1387.8683
2005-02-27,1360.8045,1387.1342
2005-02-28,1360.7431,1386.3826
2005-03-01,1360.6955,1385.6132
2005-03-02,1360.6842,1384.9354
2005-03-03,1360.7195,1384.2673
2005-03-04,1360.777,1383.5972
2005-03-05,1360.8198,1382.9213
2005-03-06,1360.8767,1382.228
2005-03-07,1360.9333,1381.5925
